,eye_color,face_color
0/cs11667293862867620009.png,0.0,6.0
0/cs12268600670197072774.png,4.0,2.0
0/cs12945904698578764006.png,4.0,0.0
0/cs11721023904659160742.png,1.0,6.0
0/cs12041381932207578061.png,4.0,9.0
0/cs12163119116446052420.png,0.0,9.0
0/cs12417947792539386341.png,4.0,0.0
0/cs11897164816303289385.png,2.0,5.0
0/cs12468343055132317982.png,0.0,8.0
0/cs12288807497962978114.png,2.0,2.0
0/cs11872402423367924346.png,3.0,6.0
0/cs1204553316764789890.png,1.0,7.0
0/cs12905074589725411419.png,0.0,0.0
0/cs12287766060867199950.png,1.0,10.0
0/cs12151355915194938269.png,1.0,0.0
0/cs12021559035231520610.png,0.0,2.0
0/cs12472603607005882702.png,0.0,3.0
0/cs12436418082717264737.png,2.0,5.0
0/cs12739487462786762643.png,3.0,10.0
0/cs12271424129587952142.png,2.0,0.0
0/cs1225635710917117862.png,4.0,2.0
0/cs1200792869741704699.png,3.0,10.0
0/cs12617711648970154749.png,3.0,1.0
0/cs12430590248903333143.png,2.0,9.0
0/cs12193854434705215352.png,0.0,6.0
0/cs12559034682736310866.png,1.0,6.0
0/cs1155057851685167969.png,3.0,9.0
0/cs12629787318833443030.png,0.0,10.0
0/cs11871816095045564374.png,2.0,0.0
0/cs12344394394874071631.png,0.0,4.0
0/cs11916125365480629409.png,1.0,9.0
0/cs12400382849256035625.png,4.0,9.0
0/cs11992540727349904619.png,0.0,3.0
0/cs11971466700609439890.png,3.0,2.0
0/cs12657347930395127318.png,2.0,10.0
0/cs1217439593585734293.png,3.0,3.0
0/cs12934310617972265686.png,2.0,0.0
0/cs12345297804668603702.png,4.0,2.0
0/cs12513393380829987927.png,1.0,4.0
0/cs12106792924812416087.png,2.0,0.0
0/cs12923276057189035228.png,0.0,5.0
0/cs12617929165362125054.png,4.0,5.0
0/cs12918783657699598130.png,3.0,7.0
0/cs11683309314123947443.png,1.0,0.0
0/cs11611007181123817269.png,0.0,0.0
0/cs12171975299289847342.png,4.0,1.0
0/cs12615211286911309324.png,4.0,6.0
0/cs12285032683176301768.png,0.0,7.0
0/cs11759419445128702973.png,2.0,10.0
0/cs11750854594925460900.png,3.0,2.0
0/cs11910530776211247087.png,1.0,10.0
0/cs1293878754176090164.png,1.0,7.0
0/cs12971040978498886152.png,2.0,9.0
0/cs12753145954317036622.png,2.0,10.0
0/cs12503137572602578427.png,0.0,5.0
0/cs12695238611452023019.png,2.0,10.0
0/cs11695740000527694843.png,3.0,5.0
0/cs11574420497591800106.png,4.0,8.0
0/cs12256576298574645396.png,1.0,2.0
0/cs12828171665977021022.png,2.0,0.0
0/cs12747972756603275378.png,4.0,9.0
0/cs1251693117225164443.png,4.0,7.0
0/cs12048493508494255344.png,1.0,0.0
0/cs11882654840871577987.png,1.0,10.0
0/cs11540914668269282253.png,1.0,9.0
0/cs11519417849081530525.png,0.0,3.0
0/cs11636815450245676505.png,1.0,7.0
0/cs11858926928095613296.png,3.0,8.0
0/cs12584854240153056999.png,4.0,3.0
0/cs12963923890325659426.png,3.0,9.0
0/cs12656248507403439332.png,3.0,0.0
0/cs12903696949549219288.png,1.0,3.0
0/cs12753893858917220595.png,1.0,10.0
0/cs11752398504673937376.png,1.0,3.0
0/cs12867875460081044789.png,4.0,3.0
0/cs12533057428479903147.png,0.0,3.0
0/cs12978083921495280880.png,1.0,1.0
0/cs12896068171766501737.png,0.0,2.0
0/cs12398853240689846565.png,3.0,7.0
0/cs11933791968882135513.png,4.0,1.0
0/cs1191102203782183893.png,2.0,0.0
0/cs12810047367917578232.png,3.0,5.0
0/cs12802970240000486747.png,4.0,8.0
0/cs12072490376336567860.png,1.0,10.0
0/cs1172575570516583897.png,0.0,2.0
0/cs11511287075987619139.png,2.0,2.0
0/cs12427766768900467054.png,4.0,7.0
0/cs12085186301506670432.png,3.0,10.0
0/cs11608331711217460293.png,0.0,1.0
0/cs12857857580001535103.png,3.0,3.0
0/cs12716556023643966298.png,3.0,8.0
0/cs11737218219274039232.png,2.0,8.0
0/cs1199402010349499650.png,3.0,5.0
0/cs11973339970090766782.png,1.0,5.0
0/cs12177889581903311720.png,1.0,6.0
0/cs11647585427519215796.png,2.0,5.0
0/cs12799802586623505114.png,3.0,0.0
0/cs11635480220833069173.png,3.0,8.0
0/cs12530365862308623112.png,4.0,8.0
0/cs11896390413868237350.png,3.0,7.0
0/cs11918657006688246064.png,0.0,1.0
0/cs12503162784379599668.png,3.0,5.0
0/cs12312362738871668111.png,0.0,1.0
0/cs12113251886725747935.png,0.0,8.0
0/cs12043675511574996057.png,1.0,1.0
0/cs12627567628119942380.png,0.0,8.0
0/cs1251393645762977408.png,4.0,8.0
0/cs12433393611578809062.png,4.0,2.0
0/cs12276386023282019444.png,2.0,9.0
0/cs12714029796252793888.png,4.0,9.0
0/cs11713479076010985367.png,4.0,3.0
0/cs12775682737885684517.png,3.0,0.0
0/cs12110888894984629978.png,1.0,7.0
0/cs12832446895831186438.png,4.0,1.0
0/cs12874618630983219653.png,2.0,10.0
0/cs11940665912735226676.png,2.0,1.0
0/cs11716153655335915142.png,0.0,9.0
0/cs12012315241466133634.png,4.0,0.0
0/cs12642907567297014585.png,2.0,5.0
0/cs12388707431208802591.png,2.0,1.0
0/cs1285737855852704327.png,1.0,8.0
0/cs12642267726568333448.png,1.0,4.0
0/cs11656227918863962834.png,0.0,6.0
0/cs12426004898658070185.png,1.0,7.0
0/cs12931989394152867352.png,4.0,8.0
0/cs12830611704771622231.png,2.0,2.0
0/cs11666503089708384804.png,0.0,1.0
0/cs12420521063216475923.png,3.0,10.0
0/cs12504666984715329149.png,4.0,5.0
0/cs12324756230466722767.png,2.0,9.0
0/cs11810894125172232609.png,2.0,10.0
0/cs12319308035479645785.png,0.0,4.0
0/cs12009554188603240533.png,2.0,8.0
0/cs12706166838916154482.png,1.0,3.0
0/cs12819300039840503707.png,2.0,5.0
0/cs11802501697941736102.png,4.0,4.0
0/cs12638201799698489988.png,4.0,4.0
0/cs12833353030208175772.png,1.0,3.0
0/cs119438058744284521.png,1.0,10.0
0/cs12872404018323532603.png,0.0,1.0
0/cs11716722400175263643.png,1.0,0.0
0/cs12964302304642633745.png,4.0,0.0
0/cs11559739446477714722.png,1.0,10.0
