,eye_color,face_color
cs10000417372154603123.png,0.0,8.0
cs10003571127927331234.png,0.0,5.0
cs10005507928318383358.png,1.0,8.0
cs10015836997162116202.png,0.0,8.0
cs10016687633452839413.png,0.0,7.0
cs10017767946906290339.png,2.0,5.0
cs10024300855215873988.png,4.0,6.0
cs10034604585514388555.png,0.0,8.0
cs10037604338827788097.png,1.0,9.0
cs10041735287654397966.png,1.0,7.0
cs10042689587789372138.png,0.0,7.0
cs10048688729226492640.png,0.0,2.0
cs10048809766808342512.png,0.0,0.0
cs10051281092872188830.png,0.0,7.0
cs10066061788052667362.png,3.0,10.0
cs10073896979893304994.png,4.0,2.0
cs10076054060860242829.png,3.0,0.0
cs10077548894897844892.png,0.0,5.0
cs10078078819892766910.png,1.0,4.0
cs10088025969404917297.png,2.0,6.0
cs1008996146511297886.png,0.0,6.0
cs10094563329380116891.png,0.0,10.0
cs10095589111898265137.png,2.0,2.0
cs10095801941774365746.png,1.0,2.0
cs10096894922495846065.png,0.0,6.0
cs10102192017622391883.png,4.0,8.0
cs10102480951712981478.png,3.0,0.0
cs10108330597365166084.png,1.0,3.0
cs10109641311922592813.png,1.0,9.0
cs10115212693060301842.png,0.0,9.0
cs10115248312791268342.png,2.0,3.0
cs10123383883007776460.png,3.0,10.0
cs10126020588517058346.png,1.0,7.0
cs10135040153021207173.png,4.0,1.0
cs10137877364699937151.png,0.0,7.0
cs1014416653482773760.png,0.0,1.0
cs10151973241493280391.png,3.0,4.0
cs10159110031864885952.png,1.0,1.0
cs10161426617517748038.png,3.0,2.0
cs10169006597806044006.png,3.0,6.0
cs10170035714901694333.png,4.0,1.0
cs101724504648038815.png,3.0,0.0
cs10176531120902556424.png,2.0,7.0
cs1018475433907436448.png,2.0,7.0
cs10186236935862428356.png,3.0,0.0
cs10190662508127340751.png,0.0,3.0
cs10195006004139280305.png,2.0,2.0
cs10196640019991419261.png,1.0,7.0
cs10199080822171377306.png,3.0,4.0
cs10199878018515623788.png,3.0,1.0
cs10206194321893932282.png,2.0,0.0
cs10212649272805515385.png,3.0,5.0
cs10216599371966657025.png,4.0,1.0
cs10218813676005267258.png,3.0,0.0
cs10222050205974276580.png,3.0,10.0
cs10230481885556246959.png,1.0,4.0
cs10233726594765102332.png,3.0,3.0
cs1023477545819243883.png,0.0,9.0
cs10238651094145417423.png,4.0,4.0
cs10243849283026786601.png,4.0,3.0
cs10247539248199674155.png,3.0,8.0
cs10249408741273466555.png,1.0,1.0
cs10252153129549852201.png,1.0,10.0
cs10256269974907253625.png,1.0,0.0
cs10257807441411618461.png,4.0,9.0
cs10259723663496712170.png,2.0,4.0
cs10262975205743593705.png,4.0,2.0
cs10266084287342042958.png,0.0,10.0
cs10273537379798394997.png,1.0,5.0
cs10279237510030890100.png,1.0,9.0
cs10279443888655185115.png,0.0,4.0
cs10294861260931285077.png,1.0,3.0
cs10299110990059369301.png,1.0,10.0
cs10302800705644249294.png,0.0,0.0
cs1030393398913434442.png,3.0,9.0
cs10308813586003550089.png,4.0,4.0
cs10313883050517609059.png,4.0,1.0
cs10324215778621711640.png,4.0,3.0
cs10326533976887932453.png,0.0,7.0
cs1033436227293559530.png,4.0,7.0
cs10335954672287622526.png,0.0,8.0
cs10337882252462388161.png,3.0,7.0
cs10340218572004315597.png,2.0,0.0
cs10344379304004958894.png,1.0,2.0
cs10360612055952813836.png,1.0,2.0
cs10364760645660950178.png,2.0,8.0
cs10367897881320775809.png,0.0,1.0
cs1037862892435782135.png,2.0,10.0
cs10380507996678959453.png,4.0,0.0
cs10381538777125306143.png,4.0,7.0
cs10388321137875863339.png,3.0,8.0
cs10394310870034392858.png,4.0,7.0
cs10404661223005690915.png,1.0,0.0
cs10405838931756914791.png,2.0,9.0
cs10407409726825413709.png,1.0,4.0
cs1041129064993214383.png,4.0,0.0
cs10421713129429605928.png,4.0,1.0
cs10423413340727302718.png,4.0,10.0
cs10423579839744139007.png,3.0,1.0
cs10425395613588397613.png,3.0,4.0
cs10428608964394197957.png,4.0,8.0
cs10432473819143171728.png,3.0,3.0
cs10439331443263880398.png,0.0,4.0
cs1044182959869303937.png,0.0,4.0
cs1044608986642655879.png,0.0,5.0
cs10447071498747563519.png,4.0,7.0
cs10447599717221719649.png,1.0,1.0
cs10451563458523249384.png,2.0,6.0
cs10453818237253563249.png,4.0,1.0
cs10456036293311902460.png,1.0,3.0
cs10458805387487796649.png,0.0,10.0
cs10464258397605423624.png,3.0,0.0
cs10465136946561227603.png,3.0,9.0
cs10468520046306474897.png,2.0,3.0
cs10470294313992841500.png,3.0,6.0
cs10470853954031359961.png,2.0,6.0
cs10475549541830172328.png,0.0,3.0
cs10477313749696567352.png,4.0,7.0
cs10484891494016544692.png,4.0,0.0
cs10490206155646672410.png,4.0,2.0
cs10499824305093890075.png,0.0,10.0
cs10500431556051205806.png,3.0,1.0
cs10501876200076242728.png,1.0,2.0
cs10506364804624425646.png,1.0,6.0
cs10507292254935556970.png,4.0,6.0
cs10507345042789816766.png,3.0,8.0
cs10511777935003368461.png,2.0,1.0
cs10514139970668672459.png,1.0,6.0
cs10520536784463457927.png,0.0,6.0
cs10521011239021573697.png,2.0,5.0
cs10525895568336096354.png,1.0,8.0
cs1052915309894936425.png,4.0,6.0
cs10533821219807902211.png,4.0,9.0
cs10534999606285249910.png,1.0,4.0
